BinCenter (ps);Histo01;Histo02;Histo03;Histo04
822.5;0;0;23;35
823.5;0;0;33;35
824.5;0;0;34;25
825.5;0;0;29;29
826.5;0;0;28;25
827.5;0;0;23;27
828.5;0;0;31;34
829.5;0;0;21;28
830.5;0;0;26;33
831.5;0;0;23;28
832.5;0;0;24;22
833.5;0;0;34;27
834.5;0;0;19;28
835.5;0;0;31;27
836.5;0;0;15;23
837.5;0;0;28;27
838.5;0;0;20;36
839.5;0;0;34;39
840.5;0;0;38;28
841.5;0;0;40;26
842.5;0;0;26;22
843.5;0;0;34;23
844.5;0;0;29;28
845.5;0;0;35;31
846.5;0;0;25;31
847.5;0;0;33;42
848.5;0;0;23;22
849.5;0;0;20;28
850.5;0;0;26;28
851.5;0;0;21;34
852.5;0;0;32;28
853.5;0;0;34;22
854.5;0;0;29;32
855.5;0;0;23;28
856.5;0;0;26;23
857.5;0;0;28;29
858.5;0;0;19;28
859.5;0;0;28;33
860.5;0;0;28;33
861.5;0;0;28;32
862.5;0;0;21;32
863.5;0;0;25;29
864.5;0;0;20;40
865.5;0;0;31;38
866.5;0;0;32;25
867.5;0;0;33;32
868.5;0;0;31;24
869.5;0;0;33;42
870.5;0;0;32;30
871.5;0;0;30;34
872.5;0;0;33;27
873.5;0;0;35;24
874.5;0;0;26;32
875.5;0;0;33;29
876.5;0;0;36;23
877.5;0;0;28;33
878.5;0;0;30;31
879.5;0;0;25;35
880.5;0;0;23;36
881.5;0;0;34;27
882.5;0;0;24;30
883.5;0;0;29;22
884.5;0;0;30;25
885.5;0;0;28;30
886.5;0;0;22;27
887.5;0;0;32;27
888.5;0;0;22;23
889.5;0;0;30;26
890.5;0;0;21;31
891.5;0;0;33;25
892.5;0;0;29;37
893.5;0;0;29;33
894.5;0;0;20;34
895.5;0;0;25;38
896.5;0;0;28;27
897.5;0;0;25;26
898.5;0;0;28;24
899.5;0;0;23;27
900.5;0;0;31;23
901.5;0;0;23;31
902.5;0;0;28;29
903.5;0;0;31;27
904.5;0;0;20;23
905.5;0;0;19;26
906.5;0;0;38;28
907.5;0;0;27;22
908.5;0;0;29;28
909.5;0;0;19;19
910.5;0;0;27;31
911.5;0;0;30;21
912.5;0;0;24;34
913.5;0;0;28;30
914.5;0;0;15;20
915.5;0;0;27;26
916.5;0;0;28;29
917.5;0;0;17;31
918.5;0;0;29;32
919.5;0;0;34;39
920.5;0;0;34;33
921.5;0;0;30;31
922.5;0;0;24;31
923.5;0;0;31;36
924.5;0;0;31;36
925.5;0;0;32;27
926.5;0;0;24;35
927.5;0;0;30;43
928.5;0;0;34;45
929.5;0;0;28;58
930.5;0;0;28;57
931.5;0;0;22;40
932.5;0;0;27;60
933.5;0;0;30;59
