TITLE,280s - 183nm - n
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/11/14
TIME,15:16:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1040
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2300.0000
LASTX,  900.0000
NPOINTS,    2801
FIRSTY,     5.10183
MAXY,    10.00000
MINY,    -4.45458
XYDATA
1834.0000,0.0445988
1833.5000,0.0466336
1833.0000,0.0471274
1832.5000,0.0469271
1832.0000,0.0479239
1831.5000,0.0444697
1831.0000,0.0473231
1830.5000,0.0477068
1830.0000,0.0437105
1829.5000,0.0468004
1829.0000,0.0460986
1828.5000,0.0468051
1828.0000,0.0485599
1827.5000,0.0490294
1827.0000,0.0463579
1826.5000,0.0471321
1826.0000,0.0445738
1825.5000,0.0465819
1825.0000,0.0517585
1824.5000,0.0493103
1824.0000,0.049019
1823.5000,0.0476249
1823.0000,0.0472516
1822.5000,0.0489419
1822.0000,0.0486786
1821.5000,0.0495775
1821.0000,0.0483085
1820.5000,0.0489736
1820.0000,0.0512127
1819.5000,0.0475932
1819.0000,0.0502429
1818.5000,0.051457
1818.0000,0.0494599
1817.5000,0.0535356
1817.0000,0.051295
1816.5000,0.0492656
1816.0000,0.0457295
1815.5000,0.0480117
1815.0000,0.0488472
1814.5000,0.0511522
1814.0000,0.0500207
1813.5000,0.0525017
1813.0000,0.0507849
1812.5000,0.0511471
1812.0000,0.052369
1811.5000,0.0510312
1811.0000,0.0528948
1810.5000,0.0496492
1810.0000,0.0541489
1809.5000,0.0532572
1809.0000,0.0490005
1808.5000,0.0528851
1808.0000,0.054708
1807.5000,0.0494963
1807.0000,0.0514509
1806.5000,0.0512795
1806.0000,0.0507878
1805.5000,0.0504112
1805.0000,0.0539599
1804.5000,0.0526453
1804.0000,0.0539637
1803.5000,0.0531949
1803.0000,0.0558102
1802.5000,0.056332
1802.0000,0.059292
1801.5000,0.0550299
1801.0000,0.054868
1800.5000,0.0548491
1800.0000,0.0574389
1799.5000,0.0533579
1799.0000,0.0575313
1798.5000,0.0564987
1798.0000,0.0572202
1797.5000,0.0582771
1797.0000,0.0590091
1796.5000,0.0585695
1796.0000,0.0556774
1795.5000,0.0549048
1795.0000,0.0571171
1794.5000,0.057095
1794.0000,0.0553832
1793.5000,0.0574652
1793.0000,0.0550579
1792.5000,0.0600662
1792.0000,0.060539
1791.5000,0.060485
1791.0000,0.0598346
1790.5000,0.0621391
1790.0000,0.0592754
1789.5000,0.0566523
1789.0000,0.060537
1788.5000,0.0634221
1788.0000,0.0630362
1787.5000,0.0606704
1787.0000,0.0703144
1786.5000,0.0602239
1786.0000,0.0588477
1785.5000,0.0667025
1785.0000,0.0607178
1784.5000,0.0629274
1784.0000,0.0645588
1783.5000,0.0651398
1783.0000,0.0638495
1782.5000,0.0704814
1782.0000,0.0645839
1781.5000,0.0641025
1781.0000,0.072029
1780.5000,0.0612033
1780.0000,0.0577452
1779.5000,0.0614803
1779.0000,0.0686086
1778.5000,0.068511
1778.0000,0.0764558
1777.5000,0.0702836
1777.0000,0.0749902
1776.5000,0.0656526
1776.0000,0.0765488
1775.5000,0.0797766
1775.0000,0.0676218
1774.5000,0.0827383
1774.0000,0.0808415
1773.5000,0.0885312
1773.0000,0.0925657
1772.5000,0.0794642
1772.0000,0.0372063
1771.5000,0.0847648
1771.0000,0.0830647
1770.5000,0.0835051
1770.0000,0.0427312
1769.5000,0.0817528
1769.0000,0.0972989
1768.5000,0.0637586
1768.0000,0.0853326
1767.5000,0.0764717
1767.0000,0.0686644
1766.5000,0.0798631
1766.0000,0.0755771
1765.5000,0.0852071
1765.0000,0.0673113
1764.5000,0.0612423
1764.0000,0.0812856
1763.5000,0.073047
1763.0000,0.0825044
1762.5000,0.0747355
1762.0000,0.094485
1761.5000,0.0838613
1761.0000,0.0704427
1760.5000,0.0883192
1760.0000,0.0712801
1759.5000,0.0759537
1759.0000,0.0920615
1758.5000,0.0878186
1758.0000,0.0774626
1757.5000,0.0795299
1757.0000,0.0560633
1756.5000,0.0916292
1756.0000,0.0670298
1755.5000,0.085211
1755.0000,0.082599
1754.5000,0.0817455
1754.0000,0.101115
1753.5000,0.0832127
1753.0000,0.106442
1752.5000,0.0914476
1752.0000,0.109805
1751.5000,0.0638664
1751.0000,0.086064
1750.5000,0.0978962
1750.0000,0.127782
1749.5000,0.0922496
1749.0000,0.0822388
1748.5000,0.0879471
1748.0000,0.0961189
1747.5000,0.0849204
1747.0000,0.0855357
1746.5000,0.0665439
1746.0000,0.0804911
1745.5000,0.0598597
1745.0000,0.11699
1744.5000,0.139262
1744.0000,0.131486
1743.5000,0.0864071
1743.0000,0.104563
1742.5000,0.0933427
1742.0000,0.117761
1741.5000,0.0979412
1741.0000,0.0493922
1740.5000,0.0708637
1740.0000,0.0840124
1739.5000,0.112483
1739.0000,0.0758584
1738.5000,0.0925373
1738.0000,0.097533
1737.5000,0.11524
1737.0000,0.0914072
1736.5000,0.0900429
1736.0000,0.0767473
1735.5000,0.0971269
